,spp,fbsci,maxlength,mortalitywild,fecundity,fecundity_mean,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,larvae_mean
121,Labroides dimidiatus,Labroides dimidiatus,14,4,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protogyny,NA,0,1,NA,NaN
122,Larabicus quadrilineatus,Larabicus quadrilineatus,11.5,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
123,Larimichthys polyactis,Larimichthys polyactis,40,23,14729,14729,"c(NA, NA, NA)",NaN,"c(NA, NA, NA)",NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
124,Lepidorhombus boscii,Lepidorhombus boscii,40,NA,119390,119390,"c(NA, NA, NA, NA)",NaN,"c(NA, NA, NA, 1)",1,one clear seasonal peak per year,3.5 months,external,dioecism,"c(NA, NA)",0,3,NA,NaN
125,Lethrinus harak,Lethrinus harak,50,15,NA,NaN,"c(NA, NA)",NaN,"c(NA, 1)",1,NA,10 months,external,protogyny,"c(""shelf"", ""coastal"")",0,NA,NA,NaN
126,Lethrinus mahsena,Lethrinus mahsena,65,27,26700,26700,"c(19, NA)",19,"c(3, NA)",3,"Throughout the year, but peaking once",2 months,external,protogyny,"c(""coastal"", NA)",0,3,NA,NaN
127,Lethrinus nebulosus,Lethrinus nebulosus,87,28,NA,NaN,"c(NA, NA, NA, NA, 32.5, 28, 40.8, 35.5, 46, 40, NA, NA)",37.13333333,"c(NA, NA, NA, NA, 4, NA, 7, 6, NA, NA, NA, NA)",5.666666667,"throughout the year, but peaking once",9.3 months,external,dioecism,"c(NA, NA, NA, NA, NA, NA)",0,3,1.86,1.86
128,Leuresthes tenuis,Leuresthes tenuis,19,8,18000,18000,"c(NA, NA, NA)",NaN,"c(NA, NA, NA)",NaN,one clear seasonal peak per year,NA,external,dioecism,"c(""coastal"", ""coastal"")",-1,1,6.5,6.5
129,Lichia amia,Lichia amia,200,NA,NA,NaN,60,60,NA,NaN,NA,NA,external,dioecism,NA,0,4,NA,NaN
130,Lipophrys pholis,Lipophrys pholis,17,10,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,5,5
131,Lithognathus mormyrus,Lithognathus mormyrus,55,12,NA,NaN,"c(NA, NA, NA, 20.3, 18.4, 14.1)",17.6,"c(NA, NA, NA, NA, NA, 2)",2,one clear seasonal peak per year,4.3 months,external,protandry,"c(NA, ""shelf"", NA)",0,3,NA,NaN
132,Lutjanus analis,Lutjanus analis,94,29,NA,NaN,"c(40, 41, 38, NA, 31.2, 28, 29.5)",34.61666667,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,NA,5.75 months,external,dioecism,"c(NA, NA, NA, ""coastal"")",-1,1,NA,NaN
133,Lutjanus carponotatus,Lutjanus carponotatus,40,20,7074,7074,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,6 months,external,dioecism,coastal,-1,1,NA,NaN
134,Lutjanus fulvus,Lutjanus fulvus,40,34,NA,NaN,"c(20, NA, NA)",20,"c(NA, NA, NA)",NaN,Variable throughout range,NA,external,dioecism,"c(NA, ""coastal"")",-1,1,NA,NaN
135,Lutjanus jocu,Lutjanus jocu,128,NA,NA,NaN,"c(30, 32, 43, 48, NA, 30.5, 10)",32.25,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA, NA, NA, ""coastal"")",-1,1,NA,NaN
136,Lutjanus kasmira,Lutjanus kasmira,40,NA,NA,NaN,"c(20, 23, 17)",20,"c(NA, NA, NA)",NaN,Variable throughout range,NA,external,dioecism,"c(NA, NA)",-1,1,1.83,1.83
137,Lutjanus purpureus,Lutjanus purpureus,100,18,NA,NaN,"c(NA, NA, 42, NA, 78.9, NA, NA, 40, NA, NA, NA)",53.63333333,"c(NA, NA, 5.5, NA, NA, NA, NA, NA, NA, NA, NA)",5.5,NA,NA,external,dioecism,"c(NA, NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NaN
138,Lutjanus synagris,Lutjanus synagris,60,10,NA,NaN,"c(NA, NA, NA, 20, 18, NA, 19, 18, 13, 15, 23.5, 21.4, 17, 15, NA, 15.7, NA, 15.5)",17.59166667,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, 1, 1, NA, NA, NA, NA, NA, NA, NA)",1,NA,8.5 months,external,dioecism,"c(NA, NA, ""coastal"", NA, NA, NA)",-1,1,NA,NaN
139,Macrodon ancylodon,Macrodon ancylodon,45,NA,12400,12400,"c(23.3, 25, 19, 22, NA, NA, NA, NA, NA, NA, NA, 17.7, NA, NA, NA, 22, NA, NA, NA, 19.5, NA)",21.21428571,"c(NA, 2.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",2.7,two seasonal peaks per year,NA,external,dioecism,"c(""coastal"", ""estuarine"", ""riverine"", NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"")",-1,3,NA,NaN
140,Makaira nigricans,Makaira nigricans,500,NA,NA,NaN,"c(50, 80)",65,"c(NA, NA)",NaN,NA,3 months,external,dioecism,NA,0,3,NA,NaN
141,Menidia menidia,Menidia menidia,15,2,179,179,NA,NaN,NA,NaN,NA,3.8 months,external,dioecism,"c(""coastal"", NA, NA, NA, ""coastal"", NA)",-1,2,3.85,3.85
142,Menticirrhus americanus,Menticirrhus americanus,50,NA,"c(35571, 58884)",47227.5,"c(NA, NA, NA, NA, NA, NA, NA, 16.3)",16.3,"c(NA, NA, NA, NA, NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"")",0,NA,1.7,1.7
143,Merlangius merlangus,Merlangius merlangus,91.5,20,"c(109358, 2e+05, 83900, NA, NA, NA, NA, 212600, 450000)",211171.6,"c(NA, 28, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",28,"c(3, NA, 2, 1, NA, NA, NA, NA, NA, NA, NA, 1, 1, NA)",1.6,Variable throughout range,7.6 months,external,dioecism,"c(NA, NA, NA, NA, ""coastal"")",-1,1,3.3,3.3
144,Merluccius albidus,Merluccius albidus,40.6,NA,340000,340000,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA, NA, NA)",0,NA,NA,NaN
145,Merluccius bilinearis,Merluccius bilinearis,76,12,7.00E+05,7.00E+05,"c(NA, NA, NA, NA, NA)",NaN,"c(3, NA, NA, NA, NA)",3,one clear seasonal peak per year,3.5 months,external,dioecism,"c(""shelf"", NA, NA, NA)",-1,3,2.6,2.6
146,Merluccius capensis,Merluccius capensis,140,NA,NA,NaN,"c(NA, NA, NA, NA)",NaN,"c(NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA)",0,3,NA,NaN
147,Merluccius paradoxus,Merluccius paradoxus,115,NA,NA,NaN,"c(NA, NA, NA, NA)",NaN,"c(NA, NA, NA, NA)",NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
148,Micropogonias furnieri,Micropogonias furnieri,60,7,"c(NA, 1800000)",1800000,"c(NA, NA, NA, NA, NA, NA, 20, NA, 23.5)",21.75,"c(NA, NA, NA, 3, NA, NA, 2, NA, NA)",2.5,NA,7.2 months,external,dioecism,"c(NA, NA, ""estuarine"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"")",0,3,NA,NaN
149,Micropogonias undulatus,Micropogonias undulatus,55,5,NA,NaN,"c(27.5, 18, 17, 14)",19.125,"c(NA, NA, NA, NA)",NaN,NA,NA,NA,NA,"c(NA, NA, NA)",NA,NA,NA,NaN
150,Microstomus pacificus,Microstomus pacificus,76,56,"c(37000, NA, 83000, 39748)",53249.33333,"c(38, 36, 33.2, NA, NA, NA)",35.73333333,"c(NA, 5.5, 9, 5, 4, NA)",5.875,one clear seasonal peak per year,NA,external,dioecism,"c(NA, ""coastal"")",-1,1,NA,NaN
151,Miichthys miiuy,Miichthys miiuy,70,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,2.47,2.47
152,Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,43,NA,NA,NaN,"c(12.3, 11.2, NA, 15, 14)",13.125,"c(NA, NA, NA, NA, NA)",NaN,NA,6.5 months,external,dioecism,"c(NA, ""coastal"", ""coastal"")",0,NA,NA,NaN
153,Mustelus asterias,Mustelus asterias,140,NA,7,7,"c(85, 78, NA, NA)",81.5,"c(NA, NA, 2, 2.3)",2.15,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
154,Mustelus mustelus,Mustelus mustelus,200,24,4,4,"c(80, 70, NA, NA)",75,"c(NA, NA, 12, 6)",9,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
155,Mustelus punctulatus,Mustelus punctulatus,190,NA,NA,NaN,"c(60, 50, 90, NA)",66.66666667,"c(NA, NA, 1.3, 1.3)",1.3,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
156,Myripristis berndti,Myripristis berndti,30,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
157,Myripristis jacobus,Myripristis jacobus,25,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
158,Naso unicornis,Naso unicornis,70,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
159,Nuchequula mannusella,Nuchequula mannusella,10.1,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
160,Odonus niger,Odonus niger,50,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
161,Okamejei kenojei,Okamejei kenojei,57,NA,40,40,39,39,NA,NaN,"throughout the year, but peaking once",NA,internal (oviduct),dioecism,NA,-1,3,NA,NaN
162,Ophiodon elongatus,Ophiodon elongatus,152,25,60000,60000,"c(70, 46, NA, 61, NA)",59,"c(NA, NA, NA, 3, NA)",3,NA,4 months,external,dioecism,"c(NA, NA)",0,NA,NA,NaN
163,Opistognathus aurifrons,Opistognathus aurifrons,10,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
164,Oplegnathus fasciatus,Oplegnathus fasciatus,80,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
165,Pagellus erythrinus,Pagellus erythrinus,60,NA,"c(31000, 22200, 11140)",21446.66667,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 15, NA, 13, NA, NA, 13, 12, NA, NA, NA)",13.25,"c(NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, NA, NA, 2.5, NA, NA, NA, NA, NA, NA, NA)",1.75,two seasonal peaks per year,NA,external,protogyny,"c(NA, NA, NA, NA, NA, NA, NA, NA, ""coastal"")",0,3,NA,NaN
166,Pagrus major,Pagrus major,100,NA,NA,NaN,"c(54, NA, NA)",54,"c(NA, NA, NA)",NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
167,Pagrus pagrus,Pagrus pagrus,91,NA,48660,48660,"c(NA, NA, NA, NA, 21.3, 18.8, 30.4, NA)",23.5,"c(NA, NA, NA, NA, NA, 0.9, 2.5, NA)",1.7,NA,NA,external,protogyny,"c(NA, NA, NA, NA, ""coastal"")",0,3,2.5,2.5
168,Pampus argenteus,Pampus argenteus,60,7,"c(44650, NA, NA, NA, NA)",44650,"c(18, NA, NA)",18,"c(NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA, ""coastal"", ""coastal"")",0,1,NA,NaN
169,Pampus chinensis,Pampus chinensis,40,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
170,Pampus minor,Pampus minor,13.44,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
171,Paralichthys californicus,Paralichthys californicus,152,30,5.00E+05,5.00E+05,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
172,Paralichthys olivaceus,Paralichthys olivaceus,103,NA,1.00E+07,1.00E+07,"c(40, 30)",35,"c(3, 3)",3,NA,NA,external,dioecism,"c(""coastal"", ""coastal"")",0,3,NA,NaN
173,Parupeneus multifasciatus,Parupeneus multifasciatus,35,NA,7929,7929,"c(18, 13.5, NA, 10)",13.83333333,"c(NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,coastal,-1,NA,NA,NaN
174,Pennahia argentata,Pennahia argentata,40,NA,NA,NaN,"c(17, 13.9)",15.45,"c(NA, NA)",NaN,one clear seasonal peak per year,NA,external,dioecism,"c(NA, ""coastal"")",0,NA,NA,NaN
175,Pholis fangi,Pholis fangi,16.8,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
176,Plectropomus leopardus,Plectropomus leopardus,120,26,457900,457900,"c(NA, 21, 30, 21, NA, NA, 36, 42)",30,"c(NA, 2, 3, NA, 2, 3, NA, NA)",2.5,one clear seasonal peak per year,NA,external,protogyny,"c(""coastal"", ""coastal"", ""shelf"", ""shelf"")",-1,3,1.62,1.62
177,Plectropomus maculatus,Plectropomus maculatus,125,NA,NA,NaN,"c(NA, NA, 54)",54,"c(2, 3, NA)",2.5,NA,NA,external,protogyny,"c(""coastal"", ""coastal"")",0,3,NA,NaN
178,Pleuragramma antarctica,Pleuragramma antarctica,25,20,"c(NA, 7500)",7500,"c(12.5, 13)",12.75,"c(NA, 3)",3,NA,NA,external,dioecism,"c(NA, ""shelf"", NA)",0,NA,9,9
179,Polyprion oxygeneios,Polyprion oxygeneios,160,60,1500000,1500000,"c(NA, NA, NA, NA, NA)",NaN,"c(NA, NA, 10, NA, NA)",10,NA,NA,external,dioecism,"c(NA, ""coastal"")",0,NA,NA,NaN
180,Pomacentrus coelestis,Pomacentrus coelestis,9,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
181,Pomacentrus moluccensis,Pomacentrus moluccensis,9,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
182,Pontinus kuhlii,Pontinus kuhlii,52,NA,NA,NaN,NA,NaN,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NaN
183,Prionace glauca,Prionace glauca,400,20,"c(NA, NA, 34, 60, 32)",42,"c(182, NA, 182, NA, NA, NA, 170, 190, 210, 210, 170, 190, 185, NA, 200, NA, NA, NA, NA, NA, NA, NA)",188.9,"c(NA, NA, NA, 6, NA, NA, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",6.5,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
184,Pristipomoides filamentosus,Pristipomoides filamentosus,100,44,NA,NaN,"c(35, NA, 36.6, 40)",37.2,"c(NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA)",-1,1,NA,NaN
185,Pristipomoides zonatus,Pristipomoides zonatus,57.5,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
186,Pseudopleuronectes herzensteini,Pseudopleuronectes herzensteini,50,15,NA,NaN,"c(22, 23, 18)",21,"c(NA, NA, NA)",NaN,NA,NA,external,dioecism,coastal,0,1,NA,NaN
187,Pseudopleuronectes yokohamae,Pseudopleuronectes yokohamae,45,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
188,Pterois miles,Pterois miles,35,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
189,Raja clavata,Raja clavata,105,15,"c(52, NA, 27, 35, 68)",45.5,"c(NA, NA, NA, NA, NA, NA, NA, NA, 47.5, 47, NA, NA, NA, NA, NA, NA, 47, 57, 56, 47)",50.25,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
190,Raja miraletus,Raja miraletus,63,NA,NA,NaN,"c(44, 40)",42,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
191,Raja polystigma,Raja polystigma,60,NA,20,20,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
192,Raja radula,Raja radula,70,NA,80,80,NA,NaN,NA,NaN,"throughout the year, but peaking once",NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
193,Rastrelliger kanagurta,Rastrelliger kanagurta,42.1,4,"c(NA, 44754, NA)",44754,"c(23, NA, NA, NA, 12, NA, NA, 19.5, 19.5, NA, NA)",18.5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA, ""coastal"", NA, ""coastal"")",-1,3,NA,NaN
194,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,110,30,"c(NA, NA, NA, 28100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",28100,"c(60, NA, NA, NA, NA, NA, 65, 55, NA, NA, NA, NA, 65)",61.25,"c(9, 11, NA, NA, NA, NA, 9, 7, NA, NA, NA, NA, NA)",9,one clear seasonal peak per year,NA,external,dioecism,"c(NA, NA, NA, NA)",-1,1,NA,NaN
195,Rhincodon typus,Rhincodon typus,1700,80.4,"c(16, NA)",16,"c(NA, 440, 903, 300, 760, NA)",600.75,"c(NA, NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,coastal,0,1,NA,NaN
196,Rhizoprionodon acutus,Rhizoprionodon acutus,175,8,"c(1, 3, 2, 2)",2,"c(70, 68, 82.5, 70, 70)",72.1,"c(NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,"c(NA, ""coastal"")",0,NA,NA,NaN
197,Ruanoho whero,Ruanoho whero,9,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
198,Sardinella lemuru,Sardinella lemuru,23,NA,NA,NaN,"c(13.5, 14, 17.61)",15.03666667,"c(NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA, NA)",0,3,NA,NaN
199,Sardinops sagax,Sardinops sagax,39.5,25,"c(30000, 10000)",20000,"c(7, 24, NA, NA, 22, 18, NA, 24, NA, NA, 21, NA, 18)",19.14285714,"c(1, NA, 1, NA, NA, 1, NA, NA, NA, NA, NA, NA, NA)",1,Two seasonal peaks per year,NA,external,dioecism,"c(NA, NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, NA, ""coastal"")",-1,3,3.5,3.5
200,Saurida elongata,Saurida elongata,50,7,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
201,Scarus ghobban,Scarus ghobban,75,13,NA,NaN,"c(49, NA)",49,"c(NA, NA)",NaN,NA,NA,external,protogyny,NA,0,2,NA,NaN
202,Scarus psittacus,Scarus psittacus,34,5,NA,NaN,10.5,10.5,NA,NaN,NA,NA,external,protogyny,NA,0,2,NA,NaN
203,Scomber australasicus,Scomber australasicus,44,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,3.2,3.2
204,Scomber japonicus,Scomber japonicus,64,18,"c(86616, 195400, 441795, 101859)",206417.5,"c(NA, NA, NA, NA, 31.5, NA, NA, 29, NA)",30.25,"c(NA, 2, NA, NA, NA, NA, NA, NA, NA)",2,Variable throughout range,NA,external,dioecism,"c(NA, NA, NA, NA, NA, NA)",-1,3,2.7,2.7
205,Scomber scombrus,Scomber scombrus,60,17,"c(NA, 2e+05, 2e+05, 211000, 285000, NA, NA, 130000, 88000, 255000, 140000, 208500, 243400, 155900, NA)",192436.3636,"c(34, 32, 30, NA, NA, NA, NA, NA, NA, NA, NA, 30, 30, 24, NA, NA, NA)",30,"c(2, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2, 1, NA, NA, NA)",1.75,one clear seasonal peak per year,NA,external,dioecism,"c(NA, NA, NA, NA, NA, ""coastal"", NA, NA, NA)",-1,1,2.46,2.46
206,Scomberomorus brasiliensis,Scomberomorus brasiliensis,125,NA,NA,NaN,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,"c(3, NA, NA, NA, NA, NA, NA)",3,"Throughout the year, but peaking once",NA,external,dioecism,"c(NA, NA, NA, NA, NA)",0,3,NA,NaN
207,Scomberomorus cavalla,Scomberomorus cavalla,184,14,"c(345000, 69264, 969206, 160722, 185608, NA)",345960,"c(77, 84, 73, 58.5, 54.5, 45, 60, 65, NA, NA, NA, NA, NA)",64.625,"c(NA, NA, NA, 2, 2, NA, NA, NA, NA, NA, NA, NA, NA)",2,Variable throughout range,NA,external,dioecism,"c(NA, NA, ""shelf"", NA, NA, NA, NA, NA, NA, NA)",0,3,NA,NaN
208,Scomberomorus commerson,Scomberomorus commerson,240,NA,"c(590000, 320000, 320000)",410000,"c(70, 65, 80, 55, 70.1, 72, NA, NA, 89.8, 70.6, NA, NA, NA)",71.5625,"c(NA, 2, 2, NA, 2, NA, NA, NA, 2, 1, NA, NA, NA)",1.8,Variable throughout range,NA,external,dioecism,"c(NA, NA, ""shelf"", NA, ""coastal"", NA, NA, NA, ""shelf"", ""shelf"", ""shelf"", NA, ""coastal"", NA, NA, NA, NA, ""coastal"", NA, NA)",0,3,NA,NaN
209,Scomberomorus concolor,Scomberomorus concolor,77,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
210,Scomberomorus niphonius,Scomberomorus niphonius,113.2,NA,550000,550000,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
211,Scomberomorus semifasciatus,Scomberomorus semifasciatus,120,NA,NA,NaN,"c(75, 64)",69.5,"c(1, 1)",1,NA,NA,external,dioecism,coastal,0,3,NA,NaN
212,Scomberomorus sierra,Scomberomorus sierra,99,NA,NA,NaN,26,26,NA,NaN,NA,NA,external,dioecism,"c(NA, NA, NA)",0,3,NA,NaN
213,Scombrops boops,Scombrops boops,150,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
214,Scombrops gilberti,Scombrops gilberti,120,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
215,Scyliorhinus canicula,Scyliorhinus canicula,100,12,"c(96, 23, 38, 105, 2, 26)",48.33333333,"c(44, 39, 54, 54, 54, 54, NA, NA, 52, 49, 41, 43, NA, NA)",48.4,"c(NA, NA, NA, NA, NA, NA, NA, 3, NA, NA, NA, NA, NA, NA)",3,NA,NA,internal (oviduct),dioecism,"c(""coastal"", ""coastal"")",0,3,NA,NaN
216,Scyliorhinus stellaris,Scyliorhinus stellaris,170,19,"c(1, 9, 77)",29,77,77,NA,NaN,NA,NA,internal (oviduct),dioecism,"c(NA, NA)",0,3,NA,NaN
217,Sebastes emphaeus,Sebastes emphaeus,18,NA,"c(NA, 3295)",3295,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
218,Sebastes flavidus,Sebastes flavidus,66,64,"c(NA, 125000)",125000,"c(27, NA, 30, NA, 41, NA)",32.66666667,"c(4, NA, 4, NA, 11, NA)",6.333333333,one clear seasonal peak per year,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
219,Sebastes helvomaculatus,Sebastes helvomaculatus,41,87,NA,NaN,"c(20, 22, NA)",21,"c(5, 7, NA)",6,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
220,Sebastes miniatus,Sebastes miniatus,91,60,"c(NA, 151000)",151000,"c(37, 35, NA)",36,"c(4, 5, NA)",4.5,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
221,Sebastes oculatus,Sebastes oculatus,40.8,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
222,Sebastes schlegelii,Sebastes schlegelii,65,20,44000,44000,"c(26, 33.8)",29.9,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,coastal,0,NA,NA,NaN
223,Sebastiscus marmoratus,Sebastiscus marmoratus,36.2,NA,NA,NaN,8,8,NA,NaN,one clear seasonal peak per year,NA,internal (oviduct),dioecism,"c(NA, NA)",-1,NA,NA,NaN
224,Selar crumenophthalmus,Selar crumenophthalmus,70,NA,NA,NaN,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA, ""coastal"")",0,4,NA,NaN
225,Seriola dumerili,Seriola dumerili,190,15,NA,NaN,"c(80, 61, 75, NA)",72,"c(3, 2, 3, NA)",2.666666667,one clear seasonal peak per year,NA,external,dioecism,"c(NA, NA, NA)",-1,4,3.5,3.5
226,Seriola lalandi,Seriola lalandi,250,12,NA,NaN,50.6,50.6,2,2,NA,NA,external,dioecism,"c(NA, ""shelf"")",-1,4,NA,NaN
227,Seriola rivoliana,Seriola rivoliana,160,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,4,NA,NaN
228,Seriolella brama,Seriolella brama,76,15,285000,285000,"c(NA, 30)",30,"c(3, NA)",3,NA,NA,external,dioecism,"c(NA, NA, NA)",-1,NA,4.2,4.2
229,Seriolella punctata,Seriolella punctata,66,15,NA,NaN,NA,NaN,3,3,NA,NA,NA,dioecism,"c(NA, NA)",0,NA,2.3,2.3
230,Siganus fuscescens,Siganus fuscescens,40,NA,"c(3e+05, 286384)",293192,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, ""coastal"")",-1,2,NA,NaN
231,Siganus guttatus,Siganus guttatus,42,NA,NA,NaN,"c(12, NA)",12,"c(NA, NA)",NaN,NA,NA,external,dioecism,NA,0,2,1.5,1.5
232,Siganus spinus,Siganus spinus,28,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,2,NA,NaN
233,Sillago japonica,Sillago japonica,30,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
234,Solea solea,Solea solea,70,26.4,"c(10000, 1e+05, 1e+05, 1e+05, NA, NA, NA, 70000)",76000,"c(NA, NA, NA, NA, 23, NA, NA, NA, 23, 26.5, NA, 30, NA, NA, 24, NA, NA, NA, NA, NA, 25, NA, NA)",25.25,"c(NA, NA, NA, NA, NA, NA, NA, NA, 3, 3, NA, 3, NA, NA, 2, NA, NA, NA, NA, NA, NA, NA, NA)",2.75,one clear seasonal peak per year,NA,external,dioecism,"c(NA, ""coastal"", NA, NA, NA, NA, NA, ""coastal"", ""coastal"")",-1,1,3.1,3.1
235,Somniosus rostratus,Somniosus rostratus,143,NA,NA,NaN,"c(82, 71)",76.5,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,"c(NA, NA)",0,NA,NA,NaN
236,Sparus aurata,Sparus aurata,70,11,NA,NaN,"c(33, 20, 27)",26.66666667,"c(2, 1, NA)",1.5,NA,NA,external,protandry,"c(""coastal"", NA, NA)",0,3,2.5,2.5
