He Models: mtDNA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Models (include spp, Source, MarkerName)",,,,,,,,,,,,,,,,,,,,,,,,,,
mtDNA,AICc,delta,logLiK,weight,df,Intercept,maxlength,Fecundity Mean (log),Fertilization,Reproduction mode,Bp,Extra Notes:,,,,,,,,,,,,,,
,37660.92,59.7820484,-18823.43,1.91E-14,7,2.885791,-0.5161543,-0.006080711,-0.5663857,NA,NA,NA,-0.004566618,,,,,,,,,,,,,
,37661.27,60.1268237,-18824.61,1.60E-14,6,1.6742657,NA,0.01764414,-0.5111246,NA,NA,NA,-0.002411597,,,,,,,,,,,,,
,37661.66,60.5237776,-18822.8,1.32E-14,8,3.3401653,-0.4924887,-0.007280204,-0.6336815,-0.36078159,NA,NA,-0.015685416,,,,,,,,,,,,,
,37661.85,60.7160708,-18823.9,1.20E-14,7,2.2258179,NA,0.015231834,-0.5867113,-0.39047193,NA,NA,-0.014184066,,,,,,,,,,,,,
,37661.91,60.768101,-18826.94,1.16E-14,4,0.6354315,NA,0.086519594,NA,NA,NA,NA,NA,,,,,,,,,,,,,
,37662.64,61.5046764,-18828.32,8.06E-15,3,1.0215767,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
,37662.71,61.5714379,-18827.35,7.79E-15,4,2.0161035,-0.5001105,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
,37662.71,61.5733314,-18826.34,7.79E-15,5,1.463781,-0.3894798,0.07442454,NA,NA,NA,NA,NA,,,,,,,,,,,,,
,37663.65,62.5069157,-18826.81,4.88E-15,5,0.8120632,NA,0.090304443,NA,-0.17543667,NA,NA,NA,,,,,,,,,,,,,
,37663.91,62.7713854,-18826.94,4.28E-15,5,0.6310139,NA,0.087128035,NA,NA,NA,NA,0.010257708,,,,,,,,,,,,,
,37664.55,63.4098414,-18826.25,3.11E-15,6,1.5736094,-0.3748281,0.077892355,NA,-0.1399998,NA,NA,NA,,,,,,,,,,,,,
,37664.58,63.438462,-18828.28,3.06E-15,4,1.125763,NA,NA,NA,-0.09444622,NA,NA,NA,,,,,,,,,,,,,
,37664.63,63.491081,-18828.31,2.98E-15,4,1.0247925,NA,NA,NA,NA,NA,NA,-0.019315455,,,,,,,,,,,,,
,37664.69,63.5470578,-18827.33,2.90E-15,5,2.076599,-0.4958496,NA,NA,-0.06251826,NA,NA,NA,,,,,,,,,,,,,
,37664.71,63.5674663,-18827.34,2.87E-15,5,2.0153765,-0.4984713,NA,NA,NA,NA,NA,-0.015262262,,,,,,,,,,,,,
,37664.72,63.5786734,-18826.34,2.86E-15,6,1.4593146,-0.3894477,0.075035012,NA,NA,NA,NA,0.010079209,,,,,,,,,,,,,
,37665.65,64.5156766,-18826.81,1.79E-15,6,0.8084378,NA,0.090671387,NA,-0.17460749,NA,NA,0.006477728,,,,,,,,,,,,,
,37666.56,65.4200387,-18826.25,1.14E-15,7,1.5699179,-0.374991,0.078285236,NA,-0.13900345,NA,NA,0.007020183,,,,,,,,,,,,,
