"","X","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file"
"116",1329,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","San Diego Bay",32.668495,-117.142071,NA,"","cytb",35,"700",0.8185,NA,0.002833,NA,"mtdna101"
"117",1330,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","San Dieguito",33.007198,-117.287726,NA,"","cytb",27,"700",0.735,NA,0.001991,NA,"mtdna101"
"118",1331,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Santa Barbara",34.1333333333333,-120,NA,"","cytb",11,"700",0.8182,NA,0.002563,NA,"mtdna101"
"119",1575,"Sardinops sagax","South American pilchard","Bowen & Grant 1997","USA","San Diego, Southern California",32.762,-117.018333333333,"SARDPCOAST","1983","control region",15,"500",1,NA,0.03,NA,"mtdna101"
"120",1614,"Scomber japonicus","Chub mackerel","Scoles Collette Graves 1998","USA","Panama City, Florida",30.092861,-85.776139,NA,"","cytb",20,"418",0.93,NA,0.004,NA,"mtdna101"
"121",1615,"Scomber japonicus","Chub mackerel","Scoles Collette Graves 1998","USA","San Diego",32.741236,-117.496875,"CMACKPCOAST","","cytb",20,"418",0.64,NA,0.0014,NA,"mtdna101"
"122",1622,"Scomber scombrus","Atlantic mackerel","de Souza et al. 2006","USA","Gulf of Maine",44.2886111111111,-68.4180555555556,"MACKGOMCHATT","1998","control region",19,"316",0.982,NA,0.028,NA,"mtdna101"
"123",1623,"Scomber scombrus","Atlantic mackerel","de Souza et al. 2006","USA","North Carolina",36.835,-75.3716666666667,"MACKGOMCHATT","2001","control region",20,"316",0.989,NA,0.029,NA,"mtdna101"
"124",1625,"Scomber scombrus","Atlantic mackerel","Scoles Collette Graves 1998","USA","Boston, Massachusetts",42.383603,-70.771923,"MACKGOMCHATT","","cytb",20,"418",0.85,NA,0.0029,NA,"mtdna101"
"125",1649,"Scomberomorus concolor","Monterey Spanish mackerel","Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583","USA","Santa Clara",31.6866666666667,-114.499722222222,NA,"2006","cytb",28,"873",0.952,0.0049,0.005,5e-04,"mtdna102"
"126",1714,"Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","East side of San Juan Island, near Friday Harbor Laboratories",48.534,-123.001653,NA,"","control region",28,NA,NA,NA,0.012,0.000378,"mtdna101"
"127",1715,"Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","North of Shaw Island, Broken Point",48.596,-122.956162,NA,"","control region",25,NA,NA,NA,0.01,4e-04,"mtdna101"
"128",1716,"Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","Off Boeing Creek, Seattle",47.753,-122.396214,NA,"","control region",23,NA,NA,NA,0.012,0.000626,"mtdna101"
"129",1717,"Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","Point George, South of Shaw Island",48.55,-122.971097,NA,"","control region",32,NA,NA,NA,0.008,0.00053,"mtdna101"
"130",1718,"Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","West side of San Juan Island, off Eagle Cove",48.459,-123.062936,NA,"","control region",19,NA,NA,NA,0.012,0.000459,"mtdna101"
"131",1719,"Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Friday Harbor",48.553,-123.000833333333,NA,"2003","tRNAPro, D-loop",28,"395",NA,NA,0.012,0.000378,"mtdna101"
"132",1720,"Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Pt. George",48.559,-122.085833333333,NA,"2003","tRNAPro, D-loop",32,"395",NA,NA,0.008,0.00053,"mtdna101"
"133",1721,"Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Seattle",47.699,-122.386667,NA,"2003","tRNAPro, D-loop",23,"395",NA,NA,0.012,0.000417,"mtdna101"
"134",1722,"Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Shaw Island",48.591,-122.151388888889,NA,"2003","tRNAPro, D-loop",25,"395",NA,NA,0.01,4e-04,"mtdna101"
"135",1723,"Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Westside",48.485,-123.001388888889,NA,"2003","tRNAPro, D-loop",19,"395",NA,NA,0.012,0.000459,"mtdna101"
"136",1726,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Astoria, OR",46.075,-124.51761,NA,"1999","cytb",108,"812",0.533,0.004811252,9e-04,7.7e-05,"mtdna101"
"137",1727,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Cannon Beach, OR 1",45.90849,-124.46891,NA,"1999","cytb",32,"812",0.669,0.012727922,0.0012,0.000159099,"mtdna101"
"138",1728,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Cannon Beach, OR 2",45.69968,-124.50905,NA,"1999","cytb",42,"812",0.664,0.006943651,0.0011,0.000123443,"mtdna101"
"139",1730,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Eureka, CA",40.40833,-124.555,NA,"1999","cytb",5,"812",0.7,0.097492564,0.001,0.000447214,"mtdna101"
"140",1731,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Florence, OR",43.9759,-124.65957,NA,"1999","cytb",74,"812",0.628,0.004882401,0.0011,0.000104623,"mtdna101"
"141",1732,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Fort Bragg, CA",39.48122,-123.85387,NA,"1999","cytb",65,"812",0.525,0.008682431,8e-04,8.68e-05,"mtdna101"
"142",1733,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Neah Bay, WA ",48.50554,-125.79765,NA,"1999","cytb",73,"812",0.666,0.005383893,0.0012,0.000105337,"mtdna101"
"143",1734,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Port Orford, OR",42.72806,-124.67289,NA,"1999","cytb",98,"812",0.52,0.005252793,9e-04,7.07e-05,"mtdna101"
"144",1736,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Francisco, CA 1",38.075,-123.45167,NA,"1999","cytb",96,"812",0.388,0.006531973,6e-04,6.12e-05,"mtdna101"
"145",1737,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Francisco, CA 2",37.87756,-123.04324,NA,"1999","cytb",67,"812",0.429,0.008674031,7e-04,7.33e-05,"mtdna101"
"146",1738,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Luis Obispo, CA",35.15105,-120.82881,NA,"1999","cytb",53,"812",0.413,0.010714124,5e-04,6.87e-05,"mtdna101"
"147",1739,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Miguel Is., CA ",34.09976,-120.54119,NA,"1999","cytb",7,"812",0.286,0.074081037,3e-04,0.000188982,"mtdna101"
"148",1740,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Santa Barbara, CA",34.34948,-119.60536,NA,"1999","cytb",10,"812",0.378,0.057237226,5e-04,0.000158114,"mtdna101"
"149",1741,"Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Santa Cruz, CA",36.81341,-122.12877,NA,"1999","cytb",40,"812",0.54,0.014546477,8e-04,0.00011068,"mtdna101"
"150",1742,"Sebastes helvomaculatus","Rosethorn rockfish","Rocha-Olivares Vetter 1999","USA","California",38.384647,-123.751836,NA,"1995","control region",25,"597",0.88,0.0128,0.0099,0.00112,"mtdna101"
"151",1744,"Sebastes helvomaculatus","Rosethorn rockfish","Rocha-Olivares Vetter 1999","USA","Oregon",46.227506,-124.230677,NA,"1995","control region",24,"597",0.957,0.0051,0.0114,0.00129,"mtdna101"
"152",1746,"Sebastes helvomaculatus","Rosethorn rockfish","Rocha-Olivares Vetter 1999","USA","Vancouver Island, British Columbia",49.639,-125.083333333333,NA,"1995","control region",9,"597",0.917,0.0307,0.0097,0.00197,"mtdna101"
"153",1750,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Bandon, Oregon",43.1175,-124.4349,NA,"","cytb",32,"782",0.869,NA,0.002,NA,"mtdna101"
"154",1751,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Bodega Bay, California ",38.2304,-123.0144,NA,"","cytb",12,"782",0.785,NA,0.001,NA,"mtdna101"
"155",1752,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Brookings, Oregon",42.05111,-124.3068,NA,"","cytb",46,"782",0.776,NA,0.002,NA,"mtdna101"
"156",1753,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Cape Blanco, Oregon",42.8385,-124.5666,NA,"","cytb",50,"782",0.853,NA,0.002,NA,"mtdna101"
"157",1754,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Depoe Bay, Oregon",44.8107,-124.0679,NA,"","cytb",56,"782",0.844,NA,0.002,NA,"mtdna101"
"158",1755,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Half Moon Bay, California",37.4632,-122.46,NA,"","cytb",45,"782",0.832,NA,0.002,NA,"mtdna101"
"159",1756,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Neah Bay, Washington ",48.424,-124.6904,NA,"","cytb",17,"782",0.757,NA,0.001,NA,"mtdna101"
"160",1757,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Palos Verdes, California ",33.7338,-118.3893,NA,"","cytb",46,"782",0.452,NA,0.001,NA,"mtdna101"
"161",1758,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Piedras Blancas, California",35.6712,-121.2893,NA,"","cytb",39,"782",0.635,NA,0.001,NA,"mtdna101"
"162",1759,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","San Diego, California ",32.727,-117.2771,NA,"","cytb",54,"782",0.499,NA,0.001,NA,"mtdna101"
"163",1760,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","San Miguel Island, California",34.0547,-120.35,NA,"","cytb",30,"782",0.489,NA,0.001,NA,"mtdna101"
"164",1761,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Santa Barbara, California",34.3963,-119.6937,NA,"","cytb",95,"782",0.39,NA,0.001,NA,"mtdna101"
"165",1762,"Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Shelter Cove, Oregon",40.0305,-124.0828,NA,"","cytb",63,"782",0.879,NA,0.002,NA,"mtdna101"
"166",1966,"Syngnathus leptorhynchus","Bay pipefish","Wilson 2006","USA","Newport",44.645,-124.268105,NA,"2003","control region",20,"465",0.7263,0.0205,0.003,0.000492,"mtdna101"
"167",1967,"Syngnathus leptorhynchus","Bay pipefish","Wilson 2006","USA","Padilla Bay",48.557,-122.547414,NA,"2003","control region",20,"465",0.5211,0.0301,0.0014,0.000291,"mtdna101"
"168",1968,"Syngnathus leptorhynchus","Bay pipefish","Wilson 2006","USA","San Diego",32.639,-117.666497,NA,"2003","control region",20,"465",0.5789,0.0278,0.0056,0.000783,"mtdna101"
"169",2085,"Xiphias gladius","Swordfish","Bremer, Mejuto et al. 1999","USA","Georges Banks, NW Atlantic",42.056454,-68.31162,"SWORDNATL","","control region",45,"330",NA,NA,0.024745,NA,"mtdna101"
