"","spp","X.x","fbsci","maxlength","mortalitywild","fecundity","fecundity_mean","maturitylength","maturitylength_mean","maturityage","maturityage_mean","numberofspawningcycles","reproductiveseasonlength","fertilization","reproductionmode","spawningground","batchspawner","parentalcare","larvaesize","larvae_mean","X.y","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file"
"502","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,502,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","France","North Nantes",47,-2.5,"ANCHOBAYB","2009","cytb",31,"524",0.9484,0.0246,0.016383,NA,"mtdna101"
"503","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,503,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Mediterranean","The Adriatic Sea",43.03,16.13,NA,"2009","cytb",20,"524",0.9842,0.0205,0.014132,NA,"mtdna101"
"504","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,504,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Mediterranean","The Adriatic Sea",43.03,16.13,NA,"2009","16S",20,"503",0.7579,0.0811,0.004824,NA,"mtdna101"
"505","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,509,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","England","English Channel",50.8,0.1,NA,"2007","cytb",27,"1045",0.963,NA,0.01,NA,"mtdna102"
"506","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,510,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","France","Bay of Biscay",43.5,-2.9,NA,"2007","cytb",23,"1045",0.98,NA,0.015,NA,"mtdna102"
"507","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,511,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Ghana","Ghana",5.6,0,NA,"2008","cytb",25,"1045",1,NA,0.006,NA,"mtdna102"
"508","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,512,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Guinea-Bissau","Guinea-Bissau",9.7,-14.2,NA,"2006","cytb",20,"1045",1,NA,0.006,NA,"mtdna102"
"509","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,513,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Morocco","Tangier",35.9,-5.9,NA,"","cytb",38,"1045",0.423,NA,0.003,NA,"mtdna102"
"510","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,514,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Norway","Norway",59,10.6,NA,"2007","cytb",24,"1045",0.953,NA,0.009,NA,"mtdna102"
"511","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,515,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Poland","Poland",54.6,16.5,NA,"2008","cytb",9,"1045",0.917,NA,0.014,NA,"mtdna102"
"512","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,516,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Portugal","Portugal - North",40.7,-8.8,NA,"1998","cytb",25,"1045",0.997,NA,0.013,NA,"mtdna102"
"513","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,517,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Portugal","Portugal - South",37.1,-8.4,NA,"2007","cytb",29,"1045",0.995,NA,0.011,NA,"mtdna102"
"514","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,518,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Senegal","Senegal",14.8,-17.6,NA,"1999","cytb",25,"1045",1,NA,0.006,NA,"mtdna102"
"515","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,519,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Spain","Canary Islands",28.3,-15,NA,"1999","cytb",24,"1045",0.996,NA,0.007,NA,"mtdna102"
"516","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,520,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Spain","M·laga",36.6,-4.3,NA,"","cytb",31,"1045",1,NA,0.007,NA,"mtdna102"
"517","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,521,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Aegean Sea","Aegean Sea",39,25,NA,"1996","control region",49,"402",0.996,7e-04,0.025,0.0019,"mtdna102"
"518","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,522,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Italy","North Adriatic",45.2166666666667,12.2833333333333,NA,"1997","control region",42,"402",0.993,0.0012,0.028,0.0022,"mtdna102"
"519","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,523,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Italy","Sicily Island",36.8333333333333,14.0833333333333,NA,"1996","control region",37,"402",0.998,0.0012,0.031,0.0026,"mtdna102"
"520","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,524,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Italy","South Adriatic",40.65,17.9166666666667,NA,"1997","control region",38,"402",1,0.001,0.031,0.0026,"mtdna102"
"521","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,525,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Spain","C·diz",36.5,-6.33333333333333,NA,"1997","control region",47,"402",0.993,0.001,0.017,0.0013,"mtdna102"
"522","Engraulis encrasicolus",77,"Engraulis encrasicolus",20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,"one clear seasonal peak per year","5 months","external","dioecism","c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,"3",3,526,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Spain","Canary Islands",28.1,-15.4,NA,"1997","control region",44,"402",0.988,0.0014,0.013,0.0011,"mtdna102"
"523","Engraulis eurystole",78,"Engraulis eurystole",15.5,NA,NA,NA,NA,NA,NA,NA,NA,"2 months","external","dioecism",NA,-1,1,"2",2,527,"Silver anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","USA","USA",41.5,-66.1,NA,"2006","cytb",12,"1045",0.909,NA,0.004,NA,"mtdna102"
"524","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,528,"Japanese anchovy","Chen et al. 2010 Zoological Studies 49: 270-282 ","Taiwan","Autumn Taiwan",24.81293,121.899067,NA,"2001","cytb",45,"740",0.999,NA,0.0144,NA,"mtdna101"
"525","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,529,"Japanese anchovy","Chen et al. 2010 Zoological Studies 49: 270-282 ","Taiwan","Taiwan Strait",25.0333333333333,121.05,NA,"2001","cytb",44,"740",1,NA,0.013,NA,"mtdna101"
"526","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,530,"Japanese anchovy","Liu et al. 2006","China","East China Sea, E8-3",32.704289,125.695634,"JANCHOTSST","2001","control region",22,"522",1,NA,0.011,NA,"mtdna101"
"527","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,531,"Japanese anchovy","Liu et al. 2006","China","F4",30.486733,122.817216,NA,"2001","control region",20,"522",0.99,NA,0.009,NA,"mtdna101"
"528","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,532,"Japanese anchovy","Liu et al. 2006","China","J1",26.185208,120.323319,NA,"2001","control region",20,"522",1,NA,0.01,NA,"mtdna101"
"529","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,533,"Japanese anchovy","Liu et al. 2006","China","Yellow Sea, L3",36.421453,121.784501,NA,"2001","control region",17,"522",1,NA,0.009,NA,"mtdna101"
"530","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,534,"Japanese anchovy","Liu et al. 2006","China","Yellow Sea, PT4",35.71547,122.410722,NA,"2001","control region",16,"522",1,NA,0.008,NA,"mtdna101"
"531","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,535,"Japanese anchovy","Liu et al. 2006","Japan","Anamizu, Ishikawa",37.206434,137.18488,NA,"1997","control region",18,"522",1,NA,0.01,NA,"mtdna101"
"532","Engraulis japonicus",79,"Engraulis japonicus",18,4,NA,NA,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,"Variable throughout range","5.5 months","external","dioecism","c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NA,536,"Japanese anchovy","Liu et al. 2006","Japan","Kagoshima Bay",31.440283,130.635393,"JANCHOPJPN","1997","control region",18,"522",1,NA,0.01,NA,"mtdna101"
