"","spp","X","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength","fecundity_mean","fertilization","reproductionmode"
"455","Diplodus vulgaris",474,"Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Spain","Balearic Island",39.560668,2.648136,NA,"2007","control region",14,"344-345",1,0.012,0.017,0.003,"mtdna102",45,15437,"external","dioecism"
"456","Diplodus vulgaris",475,"Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Spain","Cadiz",36.530452,-6.289334,NA,"2008","control region",20,"344-345",0.984,0.006,0.013,0.002,"mtdna102",45,15437,"external","dioecism"
"457","Dipturus oxyrinchus",476,"Longnosed skate","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","cytochrome c oxidase subunit I",10,"610",0.2,0.154,3e-04,5e-04,"mtdna103",150,75,"internal (oviduct)","dioecism"
"458","Dipturus oxyrinchus",477,"Longnosed skate","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","ND2",10,"990",0.8,0.1,0.0014,0.001,"mtdna103",150,75,"internal (oviduct)","dioecism"
"459","Dipturus trachyderma",479,"Roughskin skate","Vargas-Caro et al. 2017 PLoS ONE 12:e0172255","Chile","Puerto Montt",-41.4733333333333,-72.94,NA,"","control region",14,"556",0.275,0.0396,7e-04,2e-04,"mtdna102",264,NA,"internal (oviduct)","dioecism"
"460","Dipturus trachyderma",481,"Roughskin skate","Vargas-Caro et al. 2017 PLoS ONE 12:e0172255","Chile","San Antonio",-33.5916666666667,-71.6166666666667,NA,"","control region",52,"556",0.038,0.0051,1e-04,0,"mtdna102",264,NA,"internal (oviduct)","dioecism"
"461","Dipturus trachyderma",482,"Roughskin skate","Vargas-Caro et al. 2017 PLoS ONE 12:e0172255","Chile","Valdivia",-39.875,-73.4,NA,"","control region",53,"556",0.329,0.0106,0.0036,3e-04,"mtdna102",264,NA,"internal (oviduct)","dioecism"
"462","Eleginops maclovinus",483,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Canal Beagle",-54.8134,-68.2944,NA,"","cytb",36,"833",0.88,NA,0.0038,NA,"mtdna101",90,NA,"external","protandry"
"463","Eleginops maclovinus",484,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Puerto Madryn",-42.761,-65.0197,NA,"","cytb",27,"833",0.96,NA,0.0054,NA,"mtdna101",90,NA,"external","protandry"
"464","Eleginops maclovinus",485,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Puerto San Juliíçn",-49.3224,-67.7192,NA,"","cytb",24,"833",0.86,NA,0.0035,NA,"mtdna101",90,NA,"external","protandry"
"465","Eleginops maclovinus",486,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Punta Marí_a ",-53.772,-67.683,NA,"","cytb",38,"833",0.87,NA,0.0036,NA,"mtdna101",90,NA,"external","protandry"
"466","Eleginops maclovinus",487,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Rada Tilly",-42.7584,-65.0314,NA,"","cytb",25,"833",0.89,NA,0.0026,NA,"mtdna101",90,NA,"external","protandry"
"467","Eleginops maclovinus",488,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","San Antonio Oeste (SAO)",-40.7757,-64.9755,NA,"","cytb",25,"833",0.9,NA,0.0047,NA,"mtdna101",90,NA,"external","protandry"
"468","Eleginops maclovinus",489,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Concepcií_n ",-36.7077,-73.0692,NA,"","cytb",27,"833",0.9,NA,0.0032,NA,"mtdna101",90,NA,"external","protandry"
"469","Eleginops maclovinus",490,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Puerto Aysí©n ",-45.4552,-74.6231,NA,"","cytb",31,"833",0.91,NA,0.0042,NA,"mtdna101",90,NA,"external","protandry"
"470","Eleginops maclovinus",491,"Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Puerto Montt",-41.5456,-72.9113,NA,"","cytb",28,"833",0.87,NA,0.0039,NA,"mtdna101",90,NA,"external","protandry"
"471","Engraulis australis",492,"Australian anchovy","Silva et al. 2017 Scientific Reports 7:2893","Australia","Australia",-35,151,NA,"2008","cytb",34,"1044",0.998,NA,0.007,NA,"mtdna102",15,NA,"external","dioecism"
"472","Engraulis australis",493,"Australian anchovy","Silva et al. 2017 Scientific Reports 7:2893","New Zealand","New Zealand",-36.7,175,NA,"2005","cytb",35,"1044",0.709,NA,0.001,NA,"mtdna102",15,NA,"external","dioecism"
"473","Engraulis capensis",494,"Southern African anchovy","Silva et al. 2017 Scientific Reports 7:2893","Namibia","Namibia",-17.2,11.7,NA,"2007","cytb",24,"1044",0.92,NA,0.01,NA,"mtdna102",17,NA,"external","dioecism"
"474","Engraulis capensis",495,"Southern African anchovy","Silva et al. 2017 Scientific Reports 7:2893","South Africa","South Africa",-34.7,21,NA,"2007","cytb",13,"1044",0.923,NA,0.019,NA,"mtdna102",17,NA,"external","dioecism"
"475","Engraulis encrasicolus",496,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Basque Country)",44.2,-2.54,"ANCHOBAYB","2009","cytb",17,"524",0.9706,0.00783,0.0158,NA,"mtdna101",20,11710,"external","dioecism"
"476","Engraulis encrasicolus",497,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Basque Country)",44.2,-2.54,"ANCHOBAYB","2009","16S",19,"503",0.7018,0.185,0.005022,NA,"mtdna101",20,11710,"external","dioecism"
"477","Engraulis encrasicolus",498,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Getaria Coast)",44,-2.6,"ANCHOBAYB","2009","16S",11,"503",0.8727,0.0269,0.005639,NA,"mtdna101",20,11710,"external","dioecism"
"478","Engraulis encrasicolus",499,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Getaria Coast)",44,-2.6,"ANCHOBAYB","2009","cytb",12,"524",0.8485,0.00367,0.012723,NA,"mtdna101",20,11710,"external","dioecism"
"479","Engraulis encrasicolus",500,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea",43.47,-4.01,"ANCHOBAYB","2009","16S",40,"503",0.5308,0.0141,0.003747,NA,"mtdna101",20,11710,"external","dioecism"
"480","Engraulis encrasicolus",501,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea",43.47,-4.01,"ANCHOBAYB","2009","cytb",39,"524",0.726,0.0113,0.011935,NA,"mtdna101",20,11710,"external","dioecism"
"481","Engraulis encrasicolus",502,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea (Valdearenas)",43.44,-3.97,"ANCHOBAYB","2009","16S",20,"503",0.7421,0.00077,0.005159,NA,"mtdna101",20,11710,"external","dioecism"
"482","Engraulis encrasicolus",503,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea (Valdearenas)",43.44,-3.97,"ANCHOBAYB","2009","cytb",20,"524",0.9474,0.0158,0.016181,NA,"mtdna101",20,11710,"external","dioecism"
"483","Engraulis encrasicolus",504,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","France","North Nantes",47,-2.5,"ANCHOBAYB","2009","16S",31,"503",0.7484,0.00442,0.005481,NA,"mtdna101",20,11710,"external","dioecism"
"484","Engraulis encrasicolus",505,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","France","North Nantes",47,-2.5,"ANCHOBAYB","2009","cytb",31,"524",0.9484,0.0103,0.016383,NA,"mtdna101",20,11710,"external","dioecism"
"485","Engraulis encrasicolus",506,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Mediterranean","The Adriatic Sea",43.03,16.13,NA,"2009","cytb",20,"524",0.9842,0.00458,0.014132,NA,"mtdna101",20,11710,"external","dioecism"
"486","Engraulis encrasicolus",507,"European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Mediterranean","The Adriatic Sea",43.03,16.13,NA,"2009","16S",20,"503",0.7579,0.0181,0.004824,NA,"mtdna101",20,11710,"external","dioecism"
"487","Engraulis encrasicolus",512,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","England","English Channel",50.8,0.1,NA,"2007","cytb",27,"1045",0.963,NA,0.01,NA,"mtdna102",20,11710,"external","dioecism"
"488","Engraulis encrasicolus",513,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","France","Bay of Biscay",43.5,-2.9,NA,"2007","cytb",23,"1045",0.98,NA,0.015,NA,"mtdna102",20,11710,"external","dioecism"
"489","Engraulis encrasicolus",514,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Ghana","Ghana",5.6,0,NA,"2008","cytb",25,"1045",1,NA,0.006,NA,"mtdna102",20,11710,"external","dioecism"
"490","Engraulis encrasicolus",515,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Guinea-Bissau","Guinea-Bissau",9.7,-14.2,NA,"2006","cytb",20,"1045",1,NA,0.006,NA,"mtdna102",20,11710,"external","dioecism"
"491","Engraulis encrasicolus",516,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Morocco","Tangier",35.9,-5.9,NA,"","cytb",38,"1045",0.423,NA,0.003,NA,"mtdna102",20,11710,"external","dioecism"
"492","Engraulis encrasicolus",517,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Norway","Norway",59,10.6,NA,"2007","cytb",24,"1045",0.953,NA,0.009,NA,"mtdna102",20,11710,"external","dioecism"
"493","Engraulis encrasicolus",518,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Poland","Poland",54.6,16.5,NA,"2008","cytb",9,"1045",0.917,NA,0.014,NA,"mtdna102",20,11710,"external","dioecism"
"494","Engraulis encrasicolus",519,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Portugal","Portugal - North",40.7,-8.8,NA,"1998","cytb",25,"1045",0.997,NA,0.013,NA,"mtdna102",20,11710,"external","dioecism"
"495","Engraulis encrasicolus",520,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Portugal","Portugal - South",37.1,-8.4,NA,"2007","cytb",29,"1045",0.995,NA,0.011,NA,"mtdna102",20,11710,"external","dioecism"
"496","Engraulis encrasicolus",521,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Senegal","Senegal",14.8,-17.6,NA,"1999","cytb",25,"1045",1,NA,0.006,NA,"mtdna102",20,11710,"external","dioecism"
"497","Engraulis encrasicolus",522,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Spain","Canary Islands",28.3,-15,NA,"1999","cytb",24,"1045",0.996,NA,0.007,NA,"mtdna102",20,11710,"external","dioecism"
"498","Engraulis encrasicolus",523,"European anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","Spain","M·laga",36.6,-4.3,NA,"","cytb",31,"1045",1,NA,0.007,NA,"mtdna102",20,11710,"external","dioecism"
"499","Engraulis encrasicolus",524,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Aegean Sea","Aegean Sea",39,25,NA,"1996","control region",49,"402",0.996,7e-04,0.025,0.0019,"mtdna102",20,11710,"external","dioecism"
"500","Engraulis encrasicolus",525,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Italy","North Adriatic",45.2166666666667,12.2833333333333,NA,"1997","control region",42,"402",0.993,0.0012,0.028,0.0022,"mtdna102",20,11710,"external","dioecism"
"501","Engraulis encrasicolus",526,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Italy","Sicily Island",36.8333333333333,14.0833333333333,NA,"1996","control region",37,"402",0.998,0.0012,0.031,0.0026,"mtdna102",20,11710,"external","dioecism"
"502","Engraulis encrasicolus",527,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Italy","South Adriatic",40.65,17.9166666666667,NA,"1997","control region",38,"402",1,0.001,0.031,0.0026,"mtdna102",20,11710,"external","dioecism"
"503","Engraulis encrasicolus",528,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Spain","C·diz",36.5,-6.33333333333333,NA,"1997","control region",47,"402",0.993,0.001,0.017,0.0013,"mtdna102",20,11710,"external","dioecism"
"504","Engraulis encrasicolus",529,"European anchovy","ViÒas et al. 2014 ICES Journal of Marine Science 71:391-297","Spain","Canary Islands",28.1,-15.4,NA,"1997","control region",44,"402",0.988,0.0014,0.013,0.0011,"mtdna102",20,11710,"external","dioecism"
"505","Engraulis eurystole",530,"Silver anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","USA","USA",41.5,-66.1,NA,"2006","cytb",12,"1045",0.909,NA,0.004,NA,"mtdna102",15.5,NA,"external","dioecism"
"506","Engraulis japonicus",531,"Japanese anchovy","Chen et al. 2010 Zoological Studies 49: 270-282 ","Taiwan","Autumn Taiwan",24.81293,121.899067,NA,"2001","cytb",45,"740",0.999,NA,0.0144,NA,"mtdna101",18,NA,"external","dioecism"
"507","Engraulis japonicus",532,"Japanese anchovy","Chen et al. 2010 Zoological Studies 49: 270-282 ","Taiwan","Taiwan Strait",25.0333333333333,121.05,NA,"2001","cytb",44,"740",1,NA,0.013,NA,"mtdna101",18,NA,"external","dioecism"
"508","Engraulis japonicus",533,"Japanese anchovy","Liu et al. 2006","China","East China Sea, E8-3",32.704289,125.695634,"JANCHOTSST","2001","control region",22,"522",1,NA,0.02,NA,"mtdna101",18,NA,"external","dioecism"
"509","Engraulis japonicus",534,"Japanese anchovy","Liu et al. 2006","China","F4",30.486733,122.817216,NA,"2001","control region",20,"522",0.99,NA,0.018,NA,"mtdna101",18,NA,"external","dioecism"
"510","Engraulis japonicus",535,"Japanese anchovy","Liu et al. 2006","China","J1",26.185208,120.323319,NA,"2001","control region",20,"522",1,NA,0.018,NA,"mtdna101",18,NA,"external","dioecism"
"511","Engraulis japonicus",536,"Japanese anchovy","Liu et al. 2006","China","Yellow Sea, L3",36.421453,121.784501,NA,"2001","control region",17,"522",1,NA,0.017,NA,"mtdna101",18,NA,"external","dioecism"
"512","Engraulis japonicus",537,"Japanese anchovy","Liu et al. 2006","China","Yellow Sea, PT4",35.71547,122.410722,NA,"2001","control region",16,"522",1,NA,0.015,NA,"mtdna101",18,NA,"external","dioecism"
"513","Engraulis japonicus",538,"Japanese anchovy","Liu et al. 2006","Japan","Anamizu, Ishikawa",37.206434,137.18488,NA,"1997","control region",18,"522",1,NA,0.018,NA,"mtdna101",18,NA,"external","dioecism"
"514","Engraulis japonicus",539,"Japanese anchovy","Liu et al. 2006","Japan","Kagoshima Bay",31.440283,130.635393,"JANCHOPJPN","1997","control region",18,"522",1,NA,0.018,NA,"mtdna101",18,NA,"external","dioecism"
"515","Engraulis japonicus",540,"Japanese anchovy","Liu et al. 2006","Japan","Kosasa, Nagasaki",32.887852,129.43681,"JANCHOTSST","1996","control region",18,"522",1,NA,0.019,NA,"mtdna101",18,NA,"external","dioecism"
"516","Engraulis japonicus",541,"Japanese anchovy","Liu et al. 2006","Japan","Miura Kanagawa",35.111632,139.653792,"JANCHOPJPN","1997","control region",18,"522",1,NA,0.016,NA,"mtdna101",18,NA,"external","dioecism"
"517","Engraulis japonicus",542,"Japanese anchovy","Liu et al. 2006","Japan","Mugi, Tokushima",33.652868,134.45542,"JANCHOPJPN","1997","control region",18,"522",1,NA,0.02,NA,"mtdna101",18,NA,"external","dioecism"
"518","Engraulis japonicus",543,"Japanese anchovy","Liu et al. 2006","Japan","Mutsu Bay",41.007148,141.106946,"JANCHOPJPN","1997","control region",18,"522",1,NA,0.018,NA,"mtdna101",18,NA,"external","dioecism"
"519","Engraulis japonicus",544,"Japanese anchovy","Liu et al. 2006","Japan","Teuri Island",44.400754,141.315284,NA,"2005","control region",20,"522",0.99,NA,0.018,NA,"mtdna101",18,NA,"external","dioecism"
"520","Engraulis japonicus",545,"Japanese anchovy","Liu et al. 2006","Japan","Utatsu, Miyagi",38.68513,141.589825,"JANCHOPJPN","1997","control region",18,"522",1,NA,0.02,NA,"mtdna101",18,NA,"external","dioecism"
"521","Engraulis japonicus",546,"Japanese anchovy","Silva et al. 2017 Scientific Reports 7:2893","Japan","Japan",35.6,139.9,NA,"2006","cytb",24,"1044",1,NA,0.011,NA,"mtdna102",18,NA,"external","dioecism"
"522","Engraulis japonicus",547,"Japanese anchovy","Yu et al. 2005","China","Q1 - center-south of Yellow Sea",35.461,122.4,NA,"","cytb",15,"420",0.962,0.04,0.00744,0.00458,"mtdna101",18,NA,"external","dioecism"
"523","Engraulis japonicus",548,"Japanese anchovy","Yu et al. 2005","China","Q1 - center-south of Yellow Sea",35.461,122.4,NA,"","cytochrome c oxidase subunit I",14,"616",0.934,0.061,0.00519,0.0032,"mtdna101",18,NA,"external","dioecism"
"524","Engraulis japonicus",549,"Japanese anchovy","Yu et al. 2005","China","Q2 - northeast East China Sea",32.436,125,"JANCHOTSST","","cytb",16,"420",0.95,0.041,0.00589,0.00376,"mtdna101",18,NA,"external","dioecism"
"525","Engraulis japonicus",550,"Japanese anchovy","Yu et al. 2005","China","Q2 - northeast East China Sea",32.436,125,"JANCHOTSST","","cytochrome c oxidase subunit I",15,"616",0.981,0.031,0.00532,0.00325,"mtdna101",18,NA,"external","dioecism"
"526","Engraulis japonicus",551,"Japanese anchovy","Yu et al. 2005","China","Q3 - southwest East China Sea",26.549,121.5,NA,"","cytochrome c oxidase subunit I",15,"616",0.971,0.039,0.00832,0.00479,"mtdna101",18,NA,"external","dioecism"
"527","Engraulis japonicus",552,"Japanese anchovy","Yu et al. 2005","China","Q3 - southwest East China Sea",26.549,121.5,NA,"","cytb",15,"420",0.981,0.031,0.00603,0.00385,"mtdna101",18,NA,"external","dioecism"
"528","Engraulis japonicus",553,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","A",36,123.9,NA,"2011","cytb",18,"402",0.9542,NA,0.007,NA,"mtdna102",18,NA,"external","dioecism"
"529","Engraulis japonicus",554,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","B2",35,123.9,NA,"2011","cytb",19,"402",0.9474,NA,0.0069,NA,"mtdna102",18,NA,"external","dioecism"
"530","Engraulis japonicus",555,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","C",34,123.5,NA,"2011","cytb",7,"402",0.9048,NA,0.0074,NA,"mtdna102",18,NA,"external","dioecism"
"531","Engraulis japonicus",556,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","D",33.5,123.5,NA,"2010","cytb",17,"402",0.4706,NA,0.0014,NA,"mtdna102",18,NA,"external","dioecism"
"532","Engraulis japonicus",557,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","E2",30.5,125,NA,"2010","cytb",24,"402",0.9312,NA,0.0062,NA,"mtdna102",18,NA,"external","dioecism"
"533","Engraulis japonicus",558,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","JN",35.45,120.25,NA,"2008","cytb",18,"402",0.7363,NA,0.0039,NA,"mtdna102",18,NA,"external","dioecism"
"534","Engraulis japonicus",559,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","China","WH",37.24,123.28,NA,"2008","cytb",15,"402",0.9935,NA,0.009,NA,"mtdna102",18,NA,"external","dioecism"
"535","Engraulis japonicus",560,"Japanese anchovy","Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177","South Korea","K",35.87,126.01,NA,"2008","cytb",14,"402",0.8762,NA,0.006,NA,"mtdna102",18,NA,"external","dioecism"
"536","Epinephelus akaara",561,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","DYW",22.06,114.3,NA,"2001","control region",5,"331",0.9,0.071554175,0.007,0.002683282,"mtdna101",58,NA,"external","protogyny"
"537","Epinephelus akaara",562,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","PT",25.9,119.8,NA,"2001","control region",15,"331",0.89,0.018073922,0.008,0.001290994,"mtdna101",58,NA,"external","protogyny"
"538","Epinephelus akaara",563,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","SY",17.6,108.96,NA,"1999","control region",14,"331",1,0.008017837,0.012,0.001870829,"mtdna101",58,NA,"external","protogyny"
"539","Epinephelus akaara",564,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","XM",24.3,118.5,NA,"2001","control region",10,"331",0.98,0.015811388,0.017,0.003162278,"mtdna101",58,NA,"external","protogyny"
"540","Epinephelus akaara",565,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","ZJ",20.86,111.03,NA,"2000","control region",15,"331",0.93,0.012909944,0.01,0.001549193,"mtdna101",58,NA,"external","protogyny"
"541","Epinephelus akaara",566,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","ZL",23.4,117.3,NA,"2001","control region",13,"331",0.72,0.036055513,0.006,0.0011094,"mtdna101",58,NA,"external","protogyny"
"542","Epinephelus akaara",567,"Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","ZS",29.8,122.4,NA,"1998","control region",15,"331",0.94,0.010327956,0.011,0.001549193,"mtdna101",58,NA,"external","protogyny"
"543","Epinephelus fasciatus",568,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Indonesia","Bitung",1.423907,125.160842,NA,"2007-2011","control region",23,"872",0.956522,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"544","Epinephelus fasciatus",569,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Indonesia","Bitung",1.423907,125.160842,NA,"2007-2011","cytb",23,"1053",0.956522,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"545","Epinephelus fasciatus",570,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Amami-oshima Island",28.282984,129.354486,NA,"2007-2011","cytb",10,"1053",0.977778,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"546","Epinephelus fasciatus",571,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Amami-oshima Island",28.282984,129.354486,NA,"2007-2011","control region",10,"872",1,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"547","Epinephelus fasciatus",572,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Fukue Island",32.710688,128.757272,NA,"2007-2011","cytb",20,"1053",0.863158,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"548","Epinephelus fasciatus",573,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Fukue Island",32.710688,128.757272,NA,"2007-2011","control region",20,"872",0.957895,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"549","Epinephelus fasciatus",574,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Gaja-jima Island",29.905243,129.540414,NA,"2007-2011","cytb",20,"1053",0.931579,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"550","Epinephelus fasciatus",575,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Gaja-jima Island",29.905243,129.540414,NA,"2007-2011","control region",20,"872",0.973684,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"551","Epinephelus fasciatus",576,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Izu-oshima Island",34.750752,139.382503,NA,"2007-2011","cytb",31,"1053",0.883871,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"552","Epinephelus fasciatus",577,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Izu-oshima Island",34.750752,139.382503,NA,"2007-2011","control region",31,"872",0.96344,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"553","Epinephelus fasciatus",578,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Izu Peninsula",34.830122,139.075735,NA,"2007-2011","cytb",20,"1053",0.889474,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"554","Epinephelus fasciatus",579,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Izu Peninsula",34.830122,139.075735,NA,"2007-2011","control region",20,"872",0.936842,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"555","Epinephelus fasciatus",580,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Kodakara-jima Island",29.223751,129.324493,NA,"2007-2011","cytb",16,"1053",0.991667,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"556","Epinephelus fasciatus",581,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Kodakara-jima Island",29.223751,129.324493,NA,"2007-2011","control region",16,"872",0.983333,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"557","Epinephelus fasciatus",582,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Kozu Island",34.216488,139.147821,NA,"2007-2011","cytb",32,"1053",0.739919,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"558","Epinephelus fasciatus",583,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Kozu Island",34.216488,139.147821,NA,"2007-2011","control region",32,"872",0.907258,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"559","Epinephelus fasciatus",584,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Kuchino-shima Island",29.969423,129.924462,NA,"2007-2011","cytb",10,"1053",0.911111,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"560","Epinephelus fasciatus",585,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Kuchino-shima Island",29.969423,129.924462,NA,"2007-2011","control region",10,"872",0.977778,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
"561","Epinephelus fasciatus",586,"Blacktip grouper","Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374","Japan","Mie Prefecture",34.34222,136.697856,NA,"2007-2011","cytb",20,"1053",0.942105,NA,NA,NA,"mtdna102",40,NA,"external","true hermaphroditism"
